Unnamed: 0,alpha,beta,gamma,alpha_cluster,beta_cluster,gamma_cluster
AT5G40100,-0.02958662435412407,0.3637879192829132,-0.27470505237579346,1,2,2
AT1G06930,-0.20064787566661835,-0.28176796436309814,-0.10492897778749466,2,0,1
AT1G04470,0.6268729567527771,-0.3589068651199341,-0.18536075949668884,0,0,0
AT5G66730,0.031551145017147064,-0.05144604295492172,-0.031368404626846313,1,1,1
AT2G38472,-0.05142265930771828,-0.08797593414783478,-0.08318975567817688,1,1,1
AT2G38474,0.2333117425441742,-0.1245916336774826,-0.0778108462691307,1,1,1
AT2G38470,0.008094468154013157,-0.0162653811275959,0.0028231407050043344,1,1,1
